eid,raw_eid,highway
40009,30285397,service
83154,244822474,service
40010,30285397,service
40011,30285397,service
40012,30285397,service
74317,164735155,residential
40014,30285401,residential
40015,30285401,residential
40016,30285401,residential
40017,30285401,residential
40018,30285401,residential
40019,30285401,residential
40020,30285401,residential
40021,30285401,residential
40022,30285401,residential
40023,30285401,residential
40029,30285404,residential
40024,30285403,residential
40025,30285403,residential
40026,30285403,residential
40027,30285403,residential
40028,30285403,residential
40030,30285404,residential
40031,30285404,residential
40032,30285404,residential
40033,30285404,residential
40035,30285454,residential
40036,30285454,residential
40037,30285454,residential
40038,30285454,residential
40039,30285454,residential
40040,30285454,residential
40041,30285454,residential
40042,30285454,residential
40043,30285454,residential
40044,30285454,residential
40045,30285454,residential
40046,30285454,residential
40047,30285454,residential
129828,895990424,secondary
40048,30285456,residential
122288,778401773,residential
40049,30285456,residential
40050,30285456,residential
40051,30285456,residential
40052,30285456,residential
40053,30285456,residential
40054,30285456,residential
40055,30285456,residential
40056,30285456,residential
40057,30285456,residential
122479,788776534,service
40058,30285456,residential
40059,30285456,residential
40060,30285458,residential
40061,30285458,residential
40062,30285458,residential
40063,30285458,residential
40064,30285458,residential
40065,30285458,residential
40066,30285458,residential
40127,30285655,unclassified
40067,30285594,residential
74299,164735152,residential
40068,30285594,residential
40069,30285594,residential
40070,30285594,residential
40071,30285594,residential
40119,30285606,residential
40075,30285596,residential
74297,164735152,residential
40076,30285596,residential
40077,30285596,residential
119380,730801049,residential
40078,30285598,residential
40113,30285606,residential
98621,441016854,residential
40079,30285598,residential
40080,30285598,residential
40091,30285602,residential
40085,30285599,residential
49546,41114799,primary
40086,30285599,residential
40087,30285599,residential
40088,30285599,residential
40090,30285602,residential
40092,30285602,residential
40097,30285605,residential
98615,441016851,residential
40093,30285604,residential
40094,30285604,residential
40095,30285604,residential
40096,30285604,residential
40110,30285606,residential
40098,30285605,residential
40099,30285605,residential
40100,30285605,residential
40102,30285606,residential
40103,30285606,residential
40104,30285606,residential
40105,30285606,residential
40106,30285606,residential
40107,30285606,residential
40108,30285606,residential
98616,441016852,residential
40109,30285606,residential
40111,30285606,residential
40112,30285606,residential
40114,30285606,residential
40115,30285606,residential
40117,30285606,residential
40118,30285606,residential
40120,30285606,residential
40121,30285606,residential
40122,30285606,residential
40123,30285606,residential
40124,30285606,residential
40125,30285606,residential
40126,30285606,residential
130820,931876369,primary
40128,30285655,unclassified
40129,30285655,unclassified
40130,30285655,unclassified
40131,30285655,unclassified
40132,30285655,unclassified
40133,30285655,unclassified
48209,39724403,tertiary
49531,41114762,tertiary
64922,97699515,tertiary
40134,30285794,residential
49552,41114800,primary
40135,30285794,residential
40136,30285794,residential
40137,30285794,residential
137297,1089073628,residential
146437,1268572907,residential
40138,30285795,residential
49554,41114800,primary
40139,30285795,residential
40140,30285795,residential
40141,30285795,residential
40142,30285795,residential
40143,30285795,residential
40153,30285800,residential
40144,30285795,residential
40145,30285795,residential
40146,30285795,residential
40147,30285795,residential
40148,30285795,residential
40149,30285795,residential
40150,30285795,residential
40154,30285800,residential
40155,30285957,residential
129832,895990424,secondary
40156,30285957,residential
40157,30285957,residential
40158,30285957,residential
40159,30285957,residential
40160,30285957,residential
40161,30285957,residential
40162,30285957,residential
40163,30285957,residential
40164,30285957,residential
153472,1414872953,service
40165,30285957,residential
40166,30285957,residential
40167,30285957,residential
153064,1394230272,service
40168,30285957,residential
40169,30285960,residential
64936,97699515,tertiary
40170,30285960,residential
40171,30285960,residential
40172,30285960,residential
113185,669907058,residential
40173,30326966,residential
61846,83647823,tertiary
125100,833638688,residential
40174,30326966,residential
40175,30326966,residential
40176,30409639,residential
40177,30409639,residential
130194,905514602,service
40185,30410514,tertiary
40186,30410514,tertiary
40187,30410514,tertiary
40188,30410514,tertiary
40189,30410514,tertiary
44424,34855983,primary
78594,196019718,tertiary
40196,30417866,residential
40198,30417866,residential
40199,30417866,residential
40390,30624764,residential
40200,30587242,residential
44802,35032330,residential
40201,30587242,residential
40202,30587242,residential
44773,35032119,residential
44794,35032121,residential
40204,30587246,residential
44800,35032121,residential
40205,30587248,residential
40206,30587248,residential
40207,30587248,residential
40208,30587248,residential
40209,30587248,residential
40210,30587248,residential
40211,30587248,residential
40212,30587248,residential
40213,30587248,residential
40214,30587248,residential
51016,44790634,living_street
72078,151605523,residential
40215,30587249,residential
76553,181419157,service
139333,1130612810,residential
40216,30587249,residential
40217,30587249,residential
40218,30587249,residential
40219,30587252,residential
51757,45681886,secondary
86846,284963853,secondary_link
40220,30587252,residential
40221,30587252,residential
98908,445363900,service
40222,30587252,residential
40223,30587252,residential
40224,30587252,residential
40225,30587252,residential
51785,45681890,service
51804,45681895,residential
70671,138138344,residential
40240,30587257,residential
40241,30587257,residential
40242,30587257,residential
73157,159480539,residential
40243,30587257,residential
40244,30587257,residential
40245,30587257,residential
40246,30587257,residential
40247,30587257,residential
40248,30587257,residential
40249,30587257,residential
40250,30587257,residential
40251,30587257,residential
40252,30587257,residential
40253,30587257,residential
40287,30596764,secondary
40288,30596764,secondary
40289,30596764,secondary
40290,30596764,secondary
40291,30596764,secondary
40292,30596764,secondary
40293,30596764,secondary
40294,30596764,secondary
40295,30596764,secondary
71326,142260598,service
40296,30596764,secondary
40297,30596764,secondary
40298,30596764,secondary
40299,30596764,secondary
40300,30596764,secondary
73517,161254997,service
40301,30596764,secondary
143976,1222927773,service
40302,30596764,secondary
40303,30596764,secondary
40304,30596764,secondary
40305,30596764,secondary
