node_id,longitude,latitude
792,2.2894364,48.8536112
793,2.2896756,48.8533703
794,2.2897096,48.8533361
795,2.2899332,48.853111
796,2.2904823,48.8525628
797,2.2999375,48.8576435
798,2.2997139,48.85749
799,2.299568,48.8573898
800,2.2993485,48.857234
801,2.2993012,48.8572005
802,2.2989641,48.8569617
803,2.2989214,48.8569315
804,2.298722,48.8567951
805,2.2986979,48.8567786
806,2.2983477,48.8565411
807,2.29821,48.8564477
808,2.289546,48.8552714
809,2.2898174,48.8552951
810,2.2918312,48.8554185
811,2.292176,48.8554384
812,2.2922783,48.8554692
813,2.2923403,48.8554931
814,2.2924036,48.855536
815,2.2930051,48.8560778
816,2.2931026,48.856161
817,2.402328,48.8451557
818,2.4022564,48.8451634
819,2.4021842,48.8451593
820,2.4021158,48.8451436
821,2.402078,48.8451288
822,2.4020441,48.8451104
823,2.260908,48.8583621
824,2.2611917,48.8582952
825,2.2613902,48.8582379
826,2.2618972,48.8581082
827,2.2626015,48.8579126
828,2.2627783,48.8578645
829,2.2628026,48.8578579
830,2.2628375,48.8578484
831,2.2629091,48.8578277
832,2.2629995,48.8578017
833,2.2630536,48.8577861
834,2.2634262,48.8576787
835,2.2635387,48.8576692
836,2.3955684,48.8489439
837,2.3955083,48.849037
838,2.3954442,48.8491382
839,2.3953046,48.8493607
840,2.3254625,48.8232714
841,2.325435,48.8231835
842,2.3254255,48.8231524
843,2.3254126,48.8230675
844,2.3689319,48.8756175
845,2.3691057,48.8753924
846,2.3691831,48.875289
847,2.3692853,48.875151
848,2.3694106,48.8749857
849,2.332342,48.871156
850,2.3322533,48.8711401
851,2.3321157,48.8711145
852,2.3414879,48.8656787
853,2.341632,48.8656433
854,2.34192,48.8655725
855,2.3425634,48.8654145
856,2.3429536,48.8653238
857,2.343086,48.8652925
858,2.401373,48.8518516
859,2.4013344,48.8519246
860,2.400815,48.8528778
861,2.4007804,48.8529444
